PlayerID,SeasonType,Season,Team,Number,Name,Position,PositionCategory,Activated,Played,Started,OffensiveSnapsPlayed,DefensiveSnapsPlayed,SpecialTeamsSnapsPlayed
16799,1,2020,GB,91,P.Smith,OLB,DEF,16,16,13,0,433,3
16800,1,2020,CHI,91,E.Goldman,NT,DEF,0,0,0,0,0,0
16802,1,2020,GB,11,D.Funchess,WR,OFF,0,0,0,0,0,0
16804,1,2020,HOU,55,B.McKinney,ILB,DEF,4,4,4,0,124,3
16806,1,2020,MIN,54,E.Kendricks,ILB,DEF,12,11,11,0,400,34
16807,1,2020,SF,29,J.Tartt,SS,DEF,7,7,6,0,198,29
16808,1,2020,MIA,21,E.Rowe,SS,DEF,16,16,13,0,487,4
16809,1,2020,LAC,52,D.Perryman,ILB,DEF,13,13,6,0,168,1
16810,1,2020,BUF,60,M.Morse,C,OFF,15,14,13,465,0,0
16811,1,2020,WAS,23,R.Darby,CB,DEF,16,16,15,0,531,36
16812,1,2020,HOU,48,N.Orchard,DE,DEF,3,3,0,0,17,15
16813,1,2020,ARI,97,J.Phillips,NT,DEF,9,9,9,0,142,17
16815,1,2020,MIN,31,A.Abdullah,RB,OFF,16,16,0,38,0,133
16816,1,2020,ARI,87,M.Williams,TE,OFF,9,9,8,173,0,26
16818,1,2020,LAR,79,R.Havenstein,OT,OFF,16,16,6,592,0,38
16819,1,2020,ARI,44,M.Golden,OLB,DEF,16,16,9,0,313,4
16820,1,2020,TEN,70,T.Sambrailo,OT,OFF,10,10,5,222,0,24
16821,1,2020,DAL,94,R.Gregory,DE,DEF,10,10,0,0,143,22
16822,1,2020,TB,74,A.Marpet,G,OFF,13,13,13,450,0,39
16824,1,2020,KC,55,F.Clark,DE,DEF,16,15,15,0,401,0
16825,1,2020,BAL,28,J.Richards,SS,DEF,16,16,0,0,4,176
16828,1,2020,JAX,60,A.Cann,G,OFF,15,15,15,487,0,26
16830,1,2020,SEA,16,T.Lockett,WR,OFF,16,16,15,500,0,1
16832,1,2020,SF,50,H.Grasu,C,OFF,13,9,3,119,0,2
16833,1,2020,PHI,66,J.Brown,G,OFF,4,2,1,40,0,0
16834,1,2020,SF,26,T.Coleman,RB,OFF,8,8,1,33,0,31
16837,1,2020,JAX,18,C.Conley,WR,OFF,15,15,4,233,0,10
16838,1,2020,HOU,25,D.Johnson,RB,OFF,11,11,5,188,0,1
16839,1,2020,NO,26,P.Williams,CB,DEF,15,15,3,0,264,59
16842,1,2020,CAR,67,J.Miller,G,OFF,14,14,14,483,0,14
16845,1,2020,ARI,58,J.Hicks,ILB,DEF,16,16,16,0,544,45
16846,1,2020,BUF,81,T.Kroft,TE,OFF,10,10,3,158,0,48
16847,1,2020,HOU,31,D.Johnson,RB,OFF,12,12,12,292,0,0
16850,1,2020,MIN,4,S.Mannion,QB,OFF,16,0,0,0,0,0
16851,1,2020,NE,98,C.Davis Jr.,DT,DEF,3,3,1,0,16,1
16852,1,2020,IND,75,C.Green,OT,OFF,15,15,1,124,0,28
16854,1,2020,NYJ,96,H.Anderson,DE,DEF,16,16,8,0,291,55
16855,1,2020,NO,88,T.Montgomery,RB,OFF,6,6,1,38,0,47
16859,1,2020,PIT,22,S.Nelson,CB,DEF,15,15,15,0,481,27
16861,1,2020,ARI,96,A.Blackson,DE,DEF,16,16,9,0,293,27
16862,1,2020,DET,90,T.Flowers,DE,DEF,7,7,5,0,164,5
16863,1,2020,BUF,75,D.Williams,OT,OFF,16,16,15,555,0,39
16866,1,2020,NYJ,82,J.Crowder,WR,OFF,12,12,7,314,0,0
16875,1,2020,TEN,75,J.Douglas,C,OFF,14,14,0,65,0,22
16876,1,2020,IND,33,I.Campbell,SS,DEF,5,5,0,4,0,31
16878,1,2020,DAL,80,B.Bell,TE,OFF,16,16,2,190,0,86
16883,1,2020,GB,55,Z.Smith,OLB,DEF,16,16,16,0,456,12
16885,1,2020,NO,56,K.Alexander,OLB,DEF,12,12,12,0,354,3
16887,1,2020,CAR,28,M.Davis,RB,OFF,15,15,12,308,0,17
16888,1,2020,KC,54,D.Wilson,LB,DEF,13,13,13,0,280,43
16889,1,2020,BUF,76,J.Feliciano,G,OFF,9,9,9,303,0,10
16892,1,2020,NE,69,S.Mason,G,OFF,13,13,13,414,0,28
16894,1,2020,ARI,73,M.Garcia,G,OFF,14,14,0,58,0,13
16895,1,2020,IND,64,M.Glowinski,G,OFF,16,16,16,578,0,43
16902,1,2020,GB,31,A.Amos,FS,DEF,16,16,16,0,535,21
16903,1,2020,TEN,85,M.Pruitt,TE,OFF,11,11,4,138,0,51
16905,1,2020,MIA,28,B.McCain,CB,DEF,16,16,14,0,489,2
16906,1,2020,BUF,14,S.Diggs,WR,OFF,16,16,14,511,0,1
16907,1,2020,ARI,7,B.Hundley,QB,OFF,0,0,0,0,0,0
16913,1,2020,HOU,56,K.Emanuel,OLB,DEF,8,8,0,1,56,4
16914,1,2020,ATL,96,T.Davison,DT,DEF,16,16,15,0,275,48
16917,1,2020,CIN,87,C.Uzomah,TE,OFF,2,2,2,51,0,2
16920,1,2020,DET,83,J.James,TE,OFF,16,16,7,246,0,90
16925,1,2020,TB,8,B.Pinion,P,ST,16,16,0,0,0,129
16926,1,2020,NE,49,J.Cardona,LS,ST,16,16,0,17,0,46
16928,1,2020,NO,32,M.Burton,FB,OFF,15,15,4,110,0,70
16929,1,2020,NYG,55,D.Mayo,OLB,DEF,11,11,2,0,102,109
16930,1,2020,TEN,23,T.Smith,CB,DEF,12,12,3,3,89,28
16931,1,2020,BAL,86,N.Boyle,TE,OFF,9,9,9,201,0,54
16933,1,2020,JAX,80,J.O'Shaughnessy,TE,OFF,15,15,12,247,0,12
16954,1,2020,LV,84,N.O'Leary,TE,OFF,0,0,0,0,0,0
16960,1,2020,SEA,37,Q.Diggs,FS,DEF,16,16,15,0,570,39
16963,1,2020,DEN,67,D.Kilgo,DT,DEF,0,0,0,0,0,0
16964,1,2020,LV,83,D.Waller,TE,OFF,16,16,15,526,0,1
16972,1,2020,DEN,91,A.Chickillo,OLB,DEF,11,11,0,0,87,76
16976,1,2020,CIN,99,C.Covington,DE,DEF,16,16,14,0,295,46
16981,1,2020,KC,62,A.Reiter,C,OFF,16,15,12,462,0,39
16983,1,2020,NYJ,58,B.Hager,ILB,DEF,10,10,2,0,142,5
16984,1,2020,BAL,76,J.Rodgers,OT,OFF,5,5,0,38,0,1
16985,1,2020,CIN,68,B.Hart,OT,OFF,14,14,13,462,0,2
16991,1,2020,ATL,46,E.Robinson,OLB,DEF,13,13,0,11,24,86
16995,1,2020,SF,53,M.Nzeocha,OLB,DEF,5,5,0,0,1,50
17003,1,2020,LV,77,T.Brown,OT,OFF,5,5,5,149,0,13
17005,1,2020,TEN,87,G.Swaim,TE,OFF,10,10,8,187,0,79
17006,1,2020,DET,29,D.Roberts,CB,DEF,11,11,5,0,252,15
17009,1,2020,NO,15,T.Siemian,QB,OFF,0,0,0,0,0,0
17014,1,2020,LV,71,D.Good,OL,OFF,15,15,14,507,0,40
17037,1,2020,DET,27,J.Coleman,CB,DEF,11,11,5,0,249,27
17053,1,2020,LAR,34,M.Brown,RB,OFF,16,16,0,250,0,10
17059,1,2020,ATL,97,G.Jarrett,DT,DEF,16,16,16,0,451,31
17081,1,2020,HOU,50,T.Adams,OLB,DEF,16,16,12,0,439,53
17082,1,2020,PHI,76,T.McGill,DT,DEF,7,7,0,0,67,13
17085,1,2020,PHI,49,A.Singleton,OLB,DEF,16,16,11,0,396,157
17111,1,2020,WAS,22,D.Everett,FS,DEF,11,11,6,0,188,92
17113,1,2020,SEA,22,Q.Dunbar,CB,DEF,6,6,6,0,210,5
17118,1,2020,LAC,1,T.Long,K,ST,16,16,0,0,0,114
17123,1,2020,TEN,49,N.Dzubnar,OLB,DEF,16,16,0,0,3,190
17136,1,2020,CIN,71,X.Williams,DT,DEF,12,12,3,0,169,32
17139,1,2020,JAX,4,J.Lambo,K,ST,4,4,0,1,0,4
17141,1,2020,NE,10,D.Byrd,WR,OFF,16,16,14,478,0,3
